Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
608,Thiago Rodrigues,br BRA,G,Paraná,29,1988,12,12,1.080,12.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,229032df
609,Rodrygo,br BRA,LTAT,Santos,17,2001,35,30,2.679,29.8,8,3,11,8,0,0,1,0,,,,027,010,037,027,037,Partidas,8f5e92a6
610,Roger,br BRA,AT,Corinthians,33,1985,21,13,1.246,13.8,4,0,4,4,0,0,3,0,,,,029,000,029,029,029,Partidas,d571f664
611,Rogério,br BRA,LTAT,Sport Recife,27,1990,28,21,1.766,19.6,3,0,3,3,0,0,3,1,,,,015,000,015,015,015,Partidas,d8131ea0
612,Joao Rojas,ec ECU,LT,São Paulo,28,1989,18,17,1.471,16.3,1,5,6,1,0,0,4,0,,,,006,031,037,006,037,Partidas,77e9a4e7
613,Yann Rolim,br BRA,LT,Chapecoense,22,1995,12,5,432,4.8,0,1,1,0,0,0,0,0,,,,000,021,021,000,021,Partidas,421a9102
614,Romário,br BRA,ZGLT,Ceará,25,1992,8,6,533,5.9,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,45ab2426
615,Romário,br BRA,AT,Ceará,25,1992,1,0,23,0.3,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,54ad9ec9
616,Ángel Romero,py PAR,LTAT,Corinthians,25,1992,27,27,2.204,24.5,6,2,8,6,0,0,9,1,,,,025,008,033,025,033,Partidas,36edfb9b
617,Lucas Romero,ar ARG,LTZG,Cruzeiro,23,1994,23,20,1.851,20.6,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,d89e48b8
618,Rômulo,br BRA,LT,Flamengo,27,1990,7,3,300,3.3,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,0d5056c6
619,Ronaldo,br BRA,G,Vitória,21,1996,20,20,1.800,20.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,711c08dc
620,Rony,br BRA,LT,Atl Paranaense,22,1995,15,6,662,7.4,3,1,4,3,0,0,1,1,,,,041,014,054,041,054,Partidas,bffd5e50
621,Matheus Rossetto,br BRA,LT,Atl Paranaense,21,1996,18,10,1.070,11.9,2,0,2,2,0,0,3,0,,,,017,000,017,017,017,Partidas,daf8c775
622,Rossi,br BRA,LTAT,Internacional,24,1993,27,9,883,9.8,1,2,3,1,0,1,5,0,,,,010,020,031,010,031,Partidas,80274d82
623,Ruan,br BRA,ZG,Vitória,24,1994,7,6,574,6.4,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,03970956
624,Bryan Ruiz,cr CRC,LT,Santos,32,1985,12,3,360,4.0,0,2,2,0,0,0,0,0,,,,000,050,050,000,050,Partidas,fa6292e2
625,Alan Ruschel,br BRA,ZG,Chapecoense,28,1989,6,3,268,3.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,09aeb402
