Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
88,Patric Cabral Lalau,br BRA,ZG,Atlético Mineiro,29,1989,24,23,2.048,22.8,1,2,3,1,0,0,6,0,1.4,1.4,3.5,49,55,99,135,004,009,013,004,013,006,015,022,006,022,Partidas,16cd17b7
89,Cacá,br BRA,ZG,Cruzeiro,19,1999,20,18,1.729,19.2,1,0,1,1,0,0,5,0,0.6,0.6,0.1,08,8,69,2,005,000,005,005,005,003,001,004,003,004,Partidas,27f4a416
90,Raúl Cáceres,py PAR,ZG,Vasco da Gama,27,1991,7,6,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,1.3,13,13,19,32,000,000,000,000,000,001,024,024,001,024,Partidas,6d9dc5be
91,Caio,br BRA,G,Atl Paranaense,22,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,a0d7eb81
92,Rodrigo Caio,br BRA,ZG,Flamengo,25,1993,29,28,2.418,26.9,2,0,2,2,0,0,4,0,2.3,2.2,0.6,29,27,91,3,007,000,007,007,007,008,002,011,008,011,Partidas,186ed8f1
93,Marquinhos Calazans,br BRA,AT,São Paulo,22,1996,4,1,140,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,5,10,12,000,000,000,000,000,002,006,009,002,009,Partidas,2c93386e
94,Guilherme Camacho,br BRA,LT,Atl Paranaense,28,1990,11,8,696,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.7,08,8,68,8,000,013,013,000,013,001,009,010,001,010,Partidas,61a6775b
95,Fernando Camilo Farias,br BRA,LT,Internacional,32,1986,1,1,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,0,3,5,000,000,000,000,000,023,000,023,023,023,Partidas,48c1930e
96,Fernando Camilo Farias,br BRA,LTAT,Chapecoense,32,1986,28,25,2.045,22.7,1,4,5,1,0,0,2,0,2.4,2.4,3.9,63,31,91,92,004,018,022,004,022,010,017,028,010,028,Partidas,48c1930e
97,Gustavo Campanharo,br BRA,LTAT,Chapecoense,26,1992,25,20,1.599,17.8,2,1,3,2,0,0,1,0,1.0,1.0,1.5,25,18,86,26,011,006,017,011,017,006,008,014,006,014,Partidas,96f2d977
98,Edinho Campos,br BRA,LT,Ceará,36,1983,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,5,1,000,000,000,000,000,000,002,002,000,002,Partidas,d31b1009
99,Lucas Campos,br BRA,ATLT,Botafogo (RJ),21,1997,10,3,372,4.1,0,0,0,0,0,0,2,0,0.3,0.3,0.2,05,9,11,25,000,000,000,000,000,008,004,011,008,011,Partidas,454d82e9
100,Juninho Capixaba,br BRA,ZG,Grêmio,21,1997,17,16,1.467,16.3,0,1,1,0,0,0,7,0,0.3,0.3,0.7,09,57,80,172,000,006,006,000,006,002,004,006,002,006,Partidas,91ba7336
101,Felippe Cardoso,br BRA,AT,Ceará,20,1998,18,14,1.285,14.3,2,1,3,2,0,0,2,0,3.9,3.9,0.9,48,20,27,79,014,007,021,014,021,028,006,033,028,033,Partidas,7a2bbdf3
102,Johnny Cardoso,us USA,AT,Internacional,17,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,7426f085
103,Jones Carioca,br BRA,ATLT,Avaí,30,1988,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,02,6,0,11,000,000,000,000,000,008,019,027,008,027,Partidas,c18a0b43
104,Thiago Carleto,br BRA,ZG,Ceará,29,1989,5,5,436,4.8,0,0,0,0,0,0,0,0,0.4,0.4,0.5,08,4,38,26,000,000,000,000,000,008,010,017,008,017,Partidas,1c50ba0b
105,Joel Carli,ar ARG,ZG,Botafogo (RJ),32,1986,25,25,2.250,25.0,0,0,0,0,0,0,10,0,0.5,0.5,0.5,10,25,60,3,000,000,000,000,000,002,002,004,002,004,Partidas,00d6e369
106,Carlinhos,br BRA,ZG,CSA,32,1987,26,26,2.272,25.2,2,0,2,2,0,0,2,0,1.1,1.1,1.3,24,57,95,104,008,000,008,008,008,004,005,010,004,010,Partidas,bbe65b34
107,Carlinhos,br BRA,ZG,Fortaleza,32,1986,27,27,2.428,27.0,1,2,3,1,0,0,9,1,1.4,1.4,2.2,36,50,82,109,004,007,011,004,011,005,008,013,005,013,Partidas,f33a3149
108,Carlos,br BRA,ZG,Corinthians,20,1999,15,13,1.200,13.3,1,0,1,1,0,0,2,0,1.1,1.1,0.6,16,25,74,45,007,000,007,007,007,008,004,012,008,012,Partidas,8d3cd59d
109,Antonio Carlos,br BRA,ZG,Palmeiras,25,1993,9,8,739,8.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,01,2,10,2,000,000,000,000,000,001,000,001,001,001,Partidas,949fe1e8
110,Jean Carlos,br BRA,LT,Goiás,25,1993,1,1,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,b9a2d5d1
111,João Carlos,br BRA,G,CSA,30,1988,11,10,899,10.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,ad9e7995
112,Leandro Carvalho,br BRA,ATLT,Ceará,23,1995,26,15,1.281,14.2,3,2,5,3,0,0,5,0,2.2,2.2,1.9,41,64,48,155,021,014,035,021,035,015,013,028,015,028,Partidas,492812cf
113,Roger Carvalho,br BRA,ZG,Fortaleza,32,1986,12,12,984,10.9,0,0,0,0,0,0,0,0,0.9,0.9,0.0,09,3,27,0,000,000,000,000,000,008,000,008,008,008,Partidas,839aeeb4
